Date,Product,Sales,Region,Profit
2023-06-19,Product A,616.48,North,106.19
2023-02-15,Product C,719.11,West,116.78
2023-02-15,Product C,985.89,East,181.45
2023-03-11,Product A,436.36,North,49.61
2023-06-22,Product C,588.22,West,110.87
2023-02-27,Product C,228.22,South,44.02
2023-01-21,Product C,878.23,North,176.49
2023-04-17,Product B,943.63,South,102.92
2023-01-15,Product A,968.59,West,176.06
2023-06-06,Product B,359.95,North,41.08
2023-01-20,Product B,700.45,West,160.80
2023-04-18,Product C,785.22,West,132.55
2023-04-08,Product B,676.11,East,103.98
2023-04-22,Product C,928.54,East,104.37
2023-03-20,Product B,429.75,North,92.06
2023-06-13,Product B,345.55,East,89.60
2023-01-11,Product C,748.74,North,96.53
2023-02-14,Product A,957.71,West,97.22
2023-01-29,Product A,797.11,East,94.11
2023-03-21,Product B,392.92,South,90.45
2023-01-05,Product B,197.97,East,41.53
2023-01-22,Product A,503.73,West,102.10
2023-01-20,Product B,169.34,South,24.41
2023-02-26,Product A,693.50,North,101.27
2023-03-11,Product A,893.73,East,119.25
2023-04-23,Product B,591.48,West,71.66
2023-03-27,Product C,740.99,East,84.96
2023-02-26,Product C,987.35,West,120.90
2023-06-16,Product A,246.92,South,54.84
2023-05-14,Product A,284.19,South,48.75
2023-02-28,Product B,842.11,East,84.36
2023-02-04,Product A,182.62,West,22.34
2023-05-21,Product C,216.02,East,20.46
2023-03-15,Product A,904.40,North,132.99
2023-06-09,Product C,928.56,East,116.23
2023-01-09,Product C,239.19,South,25.28
2023-05-01,Product A,979.16,North,97.92
2023-03-09,Product C,562.47,North,101.24
2023-06-09,Product A,404.29,East,101.07
2023-04-20,Product A,803.97,South,136.68
2023-04-12,Product C,639.24,North,83.10
2023-02-16,Product B,366.54,North,90.28
2023-01-21,Product B,841.95,South,92.61
2023-05-22,Product C,926.97,West,115.87
2023-04-05,Product B,318.13,West,50.90
2023-02-14,Product B,204.86,North,44.82
2023-04-23,Product A,748.14,East,142.14
2023-06-04,Product C,824.95,West,115.49
2023-03-30,Product A,375.60,East,49.33
2023-05-15,Product A,931.22,South,132.91
2023-05-17,Product C,926.32,South,106.21
2023-04-11,Product A,339.66,South,92.86
2023-05-17,Product A,737.77,North,105.74
2023-04-19,Product A,889.83,South,137.07
2023-06-05,Product C,282.48,South,31.25
2023-05-25,Product B,742.20,North,136.07
2023-05-05,Product C,944.85,West,169.73
2023-05-16,Product B,314.30,North,66.00
2023-01-05,Product B,364.69,West,74.69
2023-05-09,Product A,626.02,South,98.73
2023-01-05,Product B,226.56,North,42.16
2023-01-28,Product C,531.94,West,130.55
2023-01-25,Product C,285.67,West,29.99
2023-02-08,Product C,367.08,North,84.43
2023-06-10,Product A,970.41,West,137.31
2023-03-16,Product B,218.24,North,56.74
2023-06-26,Product A,759.85,North,111.52
2023-05-11,Product B,173.19,South,43.30
2023-01-01,Product C,342.69,West,61.68
2023-05-12,Product B,671.91,North,111.30
2023-05-23,Product C,439.01,West,96.40
2023-01-30,Product A,846.67,South,101.60
2023-04-28,Product B,668.48,East,137.05
2023-06-09,Product B,392.66,East,93.74
2023-05-01,Product A,695.75,East,135.68
2023-04-21,Product B,413.39,West,73.39
2023-05-01,Product B,343.09,South,89.21
2023-05-12,Product C,597.93,North,94.83
2023-01-14,Product C,933.56,East,112.03
2023-04-01,Product B,204.53,West,22.94
2023-06-17,Product C,243.92,North,24.39
2023-03-08,Product A,961.37,North,180.27
2023-06-12,Product A,762.05,South,123.91
2023-03-26,Product B,704.12,West,111.29
2023-05-16,Product C,350.53,West,88.99
2023-02-25,Product A,294.60,North,52.47
2023-04-12,Product A,246.68,East,44.85
2023-04-01,Product A,670.10,East,160.82
2023-05-14,Product A,255.79,East,45.89
2023-03-08,Product C,952.68,East,169.92
2023-03-11,Product B,561.29,East,95.42
2023-04-29,Product B,862.77,North,116.89
2023-01-24,Product A,679.01,North,125.74
2023-04-21,Product B,666.15,South,70.97
